Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,17.5,17,-90,top
R2,82k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,17.5,29,-90,top
