Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R1,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,34.5,13.5,-90,top
R2,81k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,29,13.5,-90,top
